chemical.id,plate.id,well,chemical_plate_well,conc,AXIS,BRAI,CFIN,CIRC,DNC_,DP24,EYE_,JAW_,MO24,MORT,NC24,NC__,OTIC,PE__,PFIN,PIG_,SM24,SNOU,SOMI,SWIM,TRUN,TR__,YSE_
1666,1,D07,1666_1_D07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,D08,1666_1_D08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,E03,1666_1_E03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,F05,1666_1_F05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,F07,1666_1_F07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,F09,1666_1_F09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,G08,1666_1_G08,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,G12,1666_1_G12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,H07,1666_1_H07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,H09,1666_1_H09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,H11,1666_1_H11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,1,H12,1666_1_H12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,B01,1666_2_B01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,B03,1666_2_B03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,B04,1666_2_B04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,B07,1666_2_B07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,B09,1666_2_B09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,C05,1666_2_C05,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,C06,1666_2_C06,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,C09,1666_2_C09,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,C10,1666_2_C10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,E07,1666_2_E07,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,F04,1666_2_F04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,G01,1666_2_G01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,G02,1666_2_G02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,G03,1666_2_G03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,G04,1666_2_G04,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1666,2,G12,1666_2_G12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,1,A11,1677_1_A11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,1,E03,1677_1_E03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,1,F03,1677_1_F03,0.64,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,1,G01,1677_1_G01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,1,H10,1677_1_H10,0.064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,A02,1677_2_A02,6.4,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,A11,1677_2_A11,0.0064,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,A12,1677_2_A12,0.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
1677,2,B01,1677_2_B01,64.0,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,
