Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,ids
597,AUC2,Log Probit,24.333262659768817,3.508674094883474,37675197989960.07,4.30625,0.0,50.0,0.08612500000000001,4,0.0,0.0,1.0,597 AUC2
601,AUC4,Gamma,48.89514505801878,17.655552226424852,67.37580450249584,2.478125,0.0,50.0,0.049562499999999995,4,0.0,0.0,1.0,601 AUC4
602,AUC1,Logistic,40.91911584680057,24.944326986272586,132.87164713050524,7.865625,0.0,50.0,0.1573125,4,0.0,0.0,1.0,602 AUC1
609,AUC2,Log Logistic,53.55966255496922,13.45268086829891,20212.94597911879,4.021875,0.0,50.0,0.0804375,4,0.0,1.0,1.0,609 AUC2
609,AUC4,Log Logistic,732.6916893845107,,19037824.163472112,3.09375,0.0,50.0,0.061875,4,0.0,1.0,1.0,609 AUC4
609,MOV4,Log Probit,9.478784272577865e-38,,944.9914401741053,22.503124999999997,0.0,50.0,0.4500624999999999,4,0.0,1.0,1.0,609 MOV4
618,AUC1,Log Logistic,23.290841538753046,,1173537269.939153,4.759375,0.0,50.0,0.09518750000000001,4,0.0,0.0,1.0,618 AUC1
618,AUC2,Logistic,48.35455240711381,29.722673313258227,137.7958692641385,5.331249999999999,0.0,50.0,0.10662499999999998,2,0.0,0.0,1.0,618 AUC2
618,AUC3,Log Probit,501.9418120360652,,1.3413704450338658e+16,3.0625,0.0,50.0,0.06125,4,0.0,1.0,1.0,618 AUC3
618,AUC4,Logistic,68.17994650362874,34.26027746999438,194.67336180049028,4.737499999999999,0.0,50.0,0.09474999999999997,4,0.0,1.0,1.0,618 AUC4
618,MOV2,Logistic,47.336440328510875,18.622977310028013,215.68152433359748,15.503124999999999,0.0,50.0,0.31006249999999996,3,0.0,0.0,1.0,618 MOV2
