Chemical_ID,End_Point,Model,BMD10,BMD50,AUC_Norm,BMD10_Flag,BMD50_Flag
419,DP24,NULL,NULL,NULL,0.014546237,NULL,NULL
419,SM24,NULL,NULL,NULL,0,NULL,NULL
419,MORT,NULL,NULL,NULL,0.051587903,NULL,NULL
420,AXIS,NULL,NULL,NULL,0.026776418,NULL,NULL
420,NC__,NULL,NULL,NULL,0,NULL,NULL
420,MO24,NULL,NULL,NULL,0.027375,NULL,NULL
420,DP24,NULL,NULL,NULL,0.050229167,NULL,NULL
420,SM24,NULL,NULL,NULL,0,NULL,NULL
420,MORT,NULL,NULL,NULL,0.033725,NULL,NULL
421,AXIS,NULL,NULL,NULL,0.016665,NULL,NULL
421,NC__,NULL,NULL,NULL,0,NULL,NULL
421,MO24,NULL,NULL,NULL,0.043679688,NULL,NULL
421,DP24,NULL,NULL,NULL,0.000329745,NULL,NULL
421,SM24,NULL,NULL,NULL,0,NULL,NULL
421,MORT,NULL,NULL,NULL,0.0782125,NULL,NULL
441,AXIS,NULL,NULL,NULL,0,NULL,NULL
441,NC__,NULL,NULL,NULL,0,NULL,NULL
441,MO24,log_logistic,8.229,36.524,0.451492537,0,0
441,DP24,NULL,NULL,NULL,0,NULL,NULL
441,SM24,NULL,NULL,NULL,0,NULL,NULL
441,MORT,gamma,2.871,4.073,0.770471208,0,0
447,AXIS,logistic,50.181,75.024,0.039466922,1,1
447,NC__,NULL,NULL,NULL,0,NULL,NULL
447,MO24,NULL,NULL,NULL,0.039875,NULL,NULL
447,DP24,NULL,NULL,NULL,0.045673943,NULL,NULL
447,SM24,NULL,NULL,NULL,0,NULL,NULL
447,MORT,log_logistic,51.657,1954.671,0.062673943,1,1
448,AXIS,logistic,7.699,12.029,0.022590476,1,1
448,NC__,NULL,NULL,NULL,0,NULL,NULL
448,MO24,NULL,NULL,NULL,0.05775,NULL,NULL
448,DP24,NULL,NULL,NULL,0,NULL,NULL
448,SM24,NULL,NULL,NULL,0,NULL,NULL
448,MORT,NULL,NULL,NULL,0.024108871,NULL,NULL
470,AXIS,log_logistic,78.083,2254.609,0.053678571,1,1
470,NC__,logistic,65.619,68.274,0.018,1,1
470,MO24,NULL,NULL,NULL,0.103720313,NULL,NULL
470,DP24,logistic,44.761,83.952,0.118282031,0,1
470,SM24,NULL,NULL,NULL,0,NULL,NULL
470,MORT,NULL,NULL,NULL,0.162784375,NULL,NULL
471,AXIS,NULL,NULL,NULL,0.00275,NULL,NULL
471,NC__,NULL,NULL,NULL,0,NULL,NULL
471,MO24,NULL,NULL,NULL,0.246485938,NULL,NULL
471,DP24,probit,11.56,38.064,0.457396271,0,0
471,SM24,NULL,NULL,NULL,0.0198,NULL,NULL
471,MORT,logistic,11.332,31.092,0.560901563,0,0
472,AXIS,NULL,NULL,NULL,0.038646667,NULL,NULL
472,NC__,NULL,NULL,NULL,0,NULL,NULL
472,MO24,NULL,NULL,NULL,0.171346875,NULL,NULL
472,DP24,NULL,NULL,NULL,0.038441529,NULL,NULL
472,SM24,NULL,NULL,NULL,0,NULL,NULL
472,MORT,probit,57.462,226.143,0.201514063,0,1
481,AXIS,NULL,NULL,NULL,0.020368966,NULL,NULL
481,NC__,NULL,NULL,NULL,0,NULL,NULL
481,MO24,NULL,NULL,NULL,0.07781255,NULL,NULL
481,DP24,logistic,65.882,68.47,0.015,1,1
481,SM24,NULL,NULL,NULL,0,NULL,NULL
481,MORT,probit,118.387,352.786,0.09187505,1,1
500,AXIS,logistic,6.956,12.009,0.128108178,0,1
500,NC__,logistic,14.555,21.994,0.030248447,1,1
500,MO24,log_logistic,48.953,51.165,0.1179375,0,1
500,DP24,logistic,42.53,67.116,0.062214141,0,1
500,SM24,NULL,NULL,NULL,0,NULL,NULL
500,MORT,logistic,8.487,13.213,0.6028659,0,0
501,AXIS,NULL,NULL,NULL,0.028884134,NULL,NULL
501,NC__,NULL,NULL,NULL,0,NULL,NULL
501,MO24,probit,17.292,39.595,0.3136875,0,0
501,DP24,weibull,1.19,44.637,0.189417123,0,1
