Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
2686; 2592,MOV1,NULL,NULL,NULL,NULL,17.888144297082228,0.0,64.0,5,NULL,NULL,NULL
2686; 2592,AUC1,NULL,NULL,NULL,NULL,21.00563991410888,0.0,64.0,5,NULL,NULL,NULL
2688,MOV1,probit,12.79,8.491,57.062,28.97318857142857,0.0,64.0,3,0,0,0
2688,AUC1,quantal_linear,18.811,10.196,123.753,23.23375792361884,0.0,64.0,4,0,0,1
2691,MOV1,gamma,0.0,NULL,400.84,33.86952258064516,0.0,64.0,3,0,1,1
2691,AUC1,NULL,NULL,NULL,NULL,16.761042343344457,0.0,64.0,5,NULL,NULL,NULL
2706,MOV1,log_logistic,0.002,NULL,687981.405,18.35377343690792,0.0,64.0,3,0,1,1
2706,AUC1,log_logistic,0.0,0.0,604.304,23.544264102564103,0.0,64.0,4,0,1,1
2723,MOV1,NULL,NULL,NULL,NULL,15.720037691044588,0.0,64.0,5,NULL,NULL,NULL
2723,AUC1,NULL,NULL,NULL,NULL,4.6824621447518,0.0,64.0,5,NULL,NULL,NULL
2726,MOV1,logistic,3.817,2.042,10.615,42.04743166988328,0.0,64.0,3,2,0,0
2726,AUC1,logistic,4.543,2.503,12.541,38.88715827589376,0.0,64.0,3,0,0,0
2743,MOV1,quantal_linear,30.807,NULL,202.671,30.365119132157428,0.0,64.0,3,0,0,1
2743,AUC1,NULL,NULL,NULL,NULL,8.293652747252747,0.0,64.0,5,NULL,NULL,NULL
2752,MOV1,NULL,NULL,NULL,NULL,22.24136,0.0,64.0,5,NULL,NULL,NULL
2752,AUC1,NULL,NULL,NULL,NULL,14.73669978021978,0.0,64.0,5,NULL,NULL,NULL
2772,MOV1,gamma,0.0,NULL,240004.906,28.134796432552957,0.0,64.0,4,0,1,1
2772,AUC1,NULL,NULL,NULL,NULL,19.625482720178372,0.0,64.0,5,NULL,NULL,NULL
2827,MOV1,NULL,NULL,NULL,NULL,31.999528872047495,0.0,64.0,5,NULL,NULL,NULL
2827,AUC1,NULL,NULL,NULL,NULL,11.086707752936718,0.0,64.0,5,NULL,NULL,NULL
2849,MOV1,quantal_linear,22.771,NULL,149.805,29.966085161290323,0.0,64.0,3,0,0,1
2849,AUC1,NULL,NULL,NULL,NULL,26.190366451612903,0.0,64.0,5,NULL,NULL,NULL
2877,MOV1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
2877,AUC1,NULL,NULL,NULL,NULL,29.901605434565433,0.0,64.0,5,NULL,NULL,NULL
2886,MOV1,NULL,NULL,NULL,NULL,13.082512624029865,0.0,64.0,5,NULL,NULL,NULL
2886,AUC1,NULL,NULL,NULL,NULL,7.37838420277041,0.0,64.0,5,NULL,NULL,NULL
2893,MOV1,gamma,0.0,NULL,1423219581.21,16.895394995073893,0.0,64.0,4,0,1,1
2893,AUC1,NULL,NULL,NULL,NULL,21.46977733990148,0.0,64.0,5,NULL,NULL,NULL
2896,MOV1,NULL,NULL,NULL,NULL,15.160938432601881,0.0,64.0,5,NULL,NULL,NULL
2896,AUC1,NULL,NULL,NULL,NULL,7.70104856247201,0.0,64.0,5,NULL,NULL,NULL
2960,MOV1,NULL,NULL,NULL,NULL,38.55478095238095,0.0,64.0,5,NULL,NULL,NULL
2960,AUC1,NULL,NULL,NULL,NULL,20.85031111111111,0.0,64.0,5,NULL,NULL,NULL
2989,MOV1,NULL,NULL,NULL,NULL,3.5847384615384623,0.0,6.4,5,NULL,NULL,NULL
2989,AUC1,NULL,NULL,NULL,NULL,2.5643692307692314,0.0,6.4,5,NULL,NULL,NULL
