Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD10_Flag,BMD50_Flag,bmdrc.Endpoint.ID
C86667,EDEM,,,,,4.3375,0.0,50.0,0.08675000000000001,0,0,0,0,C86667 EDEM
C86667,LTRK,,,,,0.9187500000000001,0.0,50.0,0.018375000000000002,0,0,0,0,C86667 LTRK
C86667,MUSC,,,,,0.7625000000000001,0.0,50.0,0.015250000000000001,0,0,0,0,C86667 MUSC
C86667,NC24,,,,,,0.0,50.0,,0,0,0,0,C86667 NC24
C86667,SKIN,,,,,1.5250000000000001,0.0,50.0,0.030500000000000003,0,0,0,0,C86667 SKIN
C86667,SM24,,,,,,0.0,50.0,,0,0,0,0,C86667 SM24
C86667,TCHR,,,,,1.15,0.0,50.0,0.023,0,0,0,0,C86667 TCHR
C89598,SM24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 SM24
C89598,SOMI,,,,,1.1358333333333335,0.0,50.0,0.02271666666666667,0,0,0,0,C89598 SOMI
C92408,CRAN,,,,,0.125,0.0,50.0,0.0025,0,0,0,0,C92408 CRAN
C91144,PIG_,,,,,,0.0,2.0,,0,0,0,0,C91144 PIG_
C91144,CRAN,,,,,0.03125,0.0,2.0,0.015625,0,0,0,0,C91144 CRAN
C91144,DP24,,,,,,0.0,2.0,,0,0,0,0,C91144 DP24
C91144,EDEM,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 EDEM
C91144,EYE_,,,,,,0.0,2.0,,0,0,0,0,C91144 EYE_
C91144,JAW_,,,,,,0.0,2.0,,0,0,0,0,C91144 JAW_
C91144,LTRK,,,,,0.046875,0.0,2.0,0.0234375,0,0,0,0,C91144 LTRK
C91144,MO24,,,,,,0.0,2.0,,0,0,0,0,C91144 MO24
C91144,MORT,,,,,,0.0,2.0,,0,0,0,0,C91144 MORT
C91144,MUSC,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 MUSC
C91144,NC24,,,,,,0.0,2.0,,0,0,0,0,C91144 NC24
C91144,NC__,,,,,,0.0,2.0,,0,0,0,0,C91144 NC__
C91144,OTIC,,,,,,0.0,2.0,,0,0,0,0,C91144 OTIC
C91144,PE__,,,,,,0.0,2.0,,0,0,0,0,C91144 PE__
C91144,PFIN,,,,,,0.0,2.0,,0,0,0,0,C91144 PFIN
C91144,SKIN,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 SKIN
C91144,CFIN,,,,,,0.0,2.0,,0,0,0,0,C91144 CFIN
C91144,SM24,,,,,,0.0,2.0,,0,0,0,0,C91144 SM24
C91144,SNOU,,,,,,0.0,2.0,,0,0,0,0,C91144 SNOU
C91144,SOMI,,,,,,0.0,2.0,,0,0,0,0,C91144 SOMI
C91144,SWIM,,,,,,0.0,2.0,,0,0,0,0,C91144 SWIM
C91144,TCHR,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 TCHR
C91144,TOT_MORT,,,,,0.203125,0.0,2.0,0.1015625,0,0,0,0,C91144 TOT_MORT
C91144,TRUN,,,,,,0.0,2.0,,0,0,0,0,C91144 TRUN
C91144,TR__,,,,,,0.0,2.0,,0,0,0,0,C91144 TR__
C91144,YSE_,,,,,,0.0,2.0,,0,0,0,0,C91144 YSE_
C92408,ALL_BUT_MORT,,,,,1.1375,0.0,50.0,0.02275,0,0,0,0,C92408 ALL_BUT_MORT
C92408,BRAI,,,,,,0.0,50.0,,0,0,0,0,C92408 BRAI
C92408,BRN_,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C92408 BRN_
C92408,CFIN,,,,,,0.0,50.0,,0,0,0,0,C92408 CFIN
C92408,CIRC,,,,,,0.0,50.0,,0,0,0,0,C92408 CIRC
C91144,CIRC,,,,,,0.0,2.0,,0,0,0,0,C91144 CIRC
C91144,BRN_,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 BRN_
C89598,SWIM,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C89598 SWIM
C90081,LTRK,,,,,2.48125,0.0,50.0,0.049625,0,0,0,0,C90081 LTRK
C89598,TCHR,,,,,0.8875000000000001,0.0,50.0,0.017750000000000002,0,0,0,0,C89598 TCHR
C89598,TRUN,,,,,0.13333333333333333,0.0,50.0,0.0026666666666666666,0,0,0,0,C89598 TRUN
C89598,TR__,,,,,0.8958333333333334,0.0,50.0,0.017916666666666668,0,0,0,0,C89598 TR__
C89598,YSE_,,,,,1.1670833333333335,0.0,50.0,0.02334166666666667,0,0,0,0,C89598 YSE_
C90081,ALL_BUT_MORT,,,,,4.3375,0.0,50.0,0.08675000000000001,0,0,0,0,C90081 ALL_BUT_MORT
C90081,AXIS,,,,,4.189427655677656,0.0,50.0,0.08378855311355313,0,0,0,0,C90081 AXIS
C90081,BRAI,,,,,2.6813186813186816,0.0,50.0,0.05362637362637363,0,0,0,0,C90081 BRAI
C90081,BRN_,,,,,3.38125,0.0,50.0,0.067625,0,0,0,0,C90081 BRN_
C90081,CFIN,,,,,2.8750686813186817,0.0,50.0,0.057501373626373635,0,0,0,0,C90081 CFIN
C90081,CRAN,,,,,3.1875,0.0,50.0,0.06375,0,0,0,0,C90081 CRAN
C90081,DP24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C90081 DP24
C90081,EDEM,,,,,4.143750000000001,0.0,50.0,0.08287500000000002,0,0,0,0,C90081 EDEM
C90081,EYE_,,,,,3.7890109890109893,0.0,50.0,0.07578021978021979,0,0,0,0,C90081 EYE_
C90081,JAW_,,,,,3.7890109890109893,0.0,50.0,0.07578021978021979,0,0,0,0,C90081 JAW_
C90081,MUSC,,,,,2.9312500000000004,0.0,50.0,0.05862500000000001,0,0,0,0,C90081 MUSC
C91144,BRAI,,,,,,0.0,2.0,,0,0,0,0,C91144 BRAI
C90081,NC24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C90081 NC24
C90081,OTIC,,,,,3.7890109890109893,0.0,50.0,0.07578021978021979,0,0,0,0,C90081 OTIC
C90081,PE__,,,,,4.85418956043956,0.0,50.0,0.09708379120879121,0,0,0,0,C90081 PE__
C90081,PFIN,,,,,2.8750686813186817,0.0,50.0,0.057501373626373635,0,0,0,0,C90081 PFIN
C90081,SM24,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C90081 SM24
C90081,SNOU,,,,,3.7890109890109893,0.0,50.0,0.07578021978021979,0,0,0,0,C90081 SNOU
C90081,SOMI,,,,,2.8750686813186817,0.0,50.0,0.057501373626373635,0,0,0,0,C90081 SOMI
C90081,SWIM,,,,,1.6860576923076924,0.0,50.0,0.033721153846153845,0,0,0,0,C90081 SWIM
C90081,TRUN,,,,,2.8750686813186817,0.0,50.0,0.057501373626373635,0,0,0,0,C90081 TRUN
C90081,YSE_,,,,,3.7890109890109893,0.0,50.0,0.07578021978021979,0,0,0,0,C90081 YSE_
C91144,ALL_BUT_MORT,,,,,0.046875,0.0,2.0,0.0234375,0,0,0,0,C91144 ALL_BUT_MORT
C91144,ANY120,,,,,0.25,0.0,2.0,0.125,0,0,0,0,C91144 ANY120
C91144,ANY24,,,,,0.0,0.0,2.0,0.0,0,0,0,0,C91144 ANY24
C91144,AXIS,,,,,,0.0,2.0,,0,0,0,0,C91144 AXIS
C52586,CIRC,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C52586 CIRC
C52586,CFIN,,,,,0.7625000000000001,0.0,50.0,0.015250000000000001,0,0,0,0,C52586 CFIN
C52586,BRN_,,,,,1.2520833333333334,0.0,50.0,0.02504166666666667,0,0,0,0,C52586 BRN_
C18955,TOT_MORT,,,,,0.3604166666666666,0.0,50.0,0.007208333333333332,0,0,0,0,C18955 TOT_MORT
C19236,CRAN,,,,,2.99375,0.0,50.0,0.059875,0,0,0,0,C19236 CRAN
C19236,CIRC,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C19236 CIRC
C19236,CFIN,,,,,0.9383333333333334,0.0,50.0,0.018766666666666668,0,0,0,0,C19236 CFIN
C19236,BRN_,,,,,2.99375,0.0,50.0,0.059875,0,0,0,0,C19236 BRN_
C19236,BRAI,,,,,0.0,0.0,50.0,0.0,0,0,0,0,C19236 BRAI
