Chemical_ID,End_Point,BMD_Flag
415,MO24,1.0
415,MORT,
415,MUSC,
415,NC24,
415,NC__,
415,SKIN,
415,SM24,
415,TCHR,
415,TOT_MORT,
416,ALL_BUT_MORT,1.0
416,ANY120,1.0
416,ANY24,1.0
416,AXIS,
416,BRN_,
416,CRAN,
416,DP24,1.0
416,EDEM,
416,LTRK,1.0
416,MO24,
416,MORT,1.0
416,MUSC,
416,NC24,
416,NC__,
416,SKIN,
416,SM24,
416,TCHR,
416,TOT_MORT,1.0
417,ALL_BUT_MORT,
417,ANY120,
417,ANY24,
417,AXIS,
417,BRN_,
417,CRAN,
417,DP24,
417,EDEM,
417,LTRK,1.0
417,MO24,
417,MORT,
417,MUSC,
417,NC24,
417,NC__,
417,SKIN,
417,SM24,
417,TCHR,1.0
417,TOT_MORT,
418,ALL_BUT_MORT,1.0
418,ANY120,0.0
418,ANY24,1.0
418,AXIS,1.0
418,BRN_,
418,CRAN,1.0
418,DP24,1.0
418,EDEM,1.0
418,LTRK,
418,MO24,
418,MORT,
418,MUSC,
418,NC24,
418,NC__,1.0
418,SKIN,
418,SM24,
418,TCHR,
418,TOT_MORT,
419,ALL_BUT_MORT,
419,ANY120,1.0
419,ANY24,1.0
419,AXIS,
419,BRN_,
419,CRAN,
419,DP24,
419,EDEM,
419,LTRK,
419,MO24,1.0
419,MORT,1.0
419,MUSC,
419,NC24,
419,NC__,
419,SKIN,
419,SM24,
419,TCHR,
419,TOT_MORT,0.0
420,ALL_BUT_MORT,0.0
420,ANY120,-1.0
420,ANY24,1.0
420,AXIS,
420,BRN_,
420,CRAN,
420,DP24,1.0
420,EDEM,1.0
420,LTRK,
420,MO24,
420,MORT,
420,MUSC,
420,NC24,
420,NC__,
420,SKIN,
420,SM24,
420,TCHR,
420,TOT_MORT,
421,ALL_BUT_MORT,
421,ANY120,
421,ANY24,
421,AXIS,1.0
421,BRN_,
421,CRAN,
421,DP24,
421,EDEM,
421,LTRK,1.0
421,MO24,
421,MORT,
421,MUSC,
421,NC24,
421,NC__,
421,SKIN,
421,SM24,
421,TCHR,
421,TOT_MORT,
441,ALL_BUT_MORT,
441,ANY120,0.0
441,ANY24,0.0
441,AXIS,0.0
441,BRN_,0.0
441,CRAN,0.0
441,DP24,
441,EDEM,0.0
441,LTRK,0.0
441,MO24,0.0
441,MORT,0.0
441,MUSC,0.0
441,NC24,
441,NC__,0.0
441,SKIN,
