"cas_number","zf.cid","Chemical_ID","chemical_class"
"65277-42-1","2059",2059,NA
"143-50-0","2058",2058,"Fungicide"
"141112-29-0","1996",1996,"Herbicide"
"82558-50-7","1995",1995,"Herbicide"
"51-30-9","1994",1994,NA
"68937-41-7","1992",1992,NA
"33820-53-0","1991",1991,"Herbicide"
"4098-71-9","1987",1987,NA
"78-59-1","1986",1986,NA
"106-27-4","1985",1985,NA
"123-51-3","1984",1984,NA
"29590-42-9","1983",1983,NA
"54-85-3","1982",1982,NA
"97-54-1","1981",1981,NA
"29761-21-5","1980",1980,NA
"42509-80-8","1978",1978,"Fungicide"
"36734-19-7","1975",1975,"Fungicide"
"144550-36-7","1974",1974,NA
"186392-65-4","1970",1970,NA
"173584-44-6","1969",1969,NA
"53-86-1","1968",1968,NA
"120-72-9","1967",1967,"PAH_Heterocyclic"
"1303-11-3","1966",1966,NA
"193-39-5","1965",1965,"PAH_Parent"
"138261-41-3","1961",1961,NA
"81335-77-5","1958",1958,NA
"81335-37-7","1957",1957,NA
"81334-34-1","1956",1956,NA
"104098-48-8","1955",1955,NA
"114311-32-9","1954",1954,NA
"35554-44-0","1953",1953,"Fungicide"
"473289-62-2","1952",1952,NA
"119515-38-7","1951",1951,NA
"127-07-1","1947",1947,NA
"52806-53-8","1946",1946,NA
"123-31-9","1945",1945,NA
"58-93-5","1944",1944,NA
"78587-05-0","1943",1943,NA
"51235-04-2","1940",1940,"Herbicide"
"142-62-1","1939",1939,NA
"33703-08-1","1938",1938,NA
"124-04-9","1937",1937,NA
"111-69-3","1936",1936,NA
"22915-73-7","1935",1935,NA
"86479-06-3","1933",1933,NA
"544-76-3","1932",1932,NA
"79983-71-4","1931",1931,"Fungicide"
"70-30-4","1930",1930,"Fungicide"
"77-47-4","1929",1929,NA
"111-14-8","1928",1928,NA
"1024-57-3","1926",1926,"Insecticide"
"76-44-8","1925",1925,"Fungicide"
"52-86-8","1920",1920,NA
"556-52-5","1912",1912,NA
"56-81-5","1909",1909,NA
"111-30-8","1906",1906,NA
"105-87-3","1901",1901,NA
