"Dose","Response","CI_Lo","CI_Hi","End Point Name","endPointLink","Sample_ID"
0,0.0666666666666667,0.0547997711733981,0.231498632071134,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","177"
8e-05,0.0789473684210526,0.0517327729140649,0.129046346156662,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","177"
4e-04,0.0263157894736842,0.0216552017879154,0.108632971685837,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","177"
0.002,0.0303030303030303,0.0249336197661585,0.122884223518159,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","177"
0.01,0,0,0.0876216011972866,"Craniofacial","http://purl.obolibrary.org/obo/ZP_0000943 | http://purl.obolibrary.org/obo/ZP_0014550 | http://purl.obolibrary.org/obo/ZP_0007203","177"
0,0.0666666666666667,0.0547997711733981,0.231498632071134,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","177"
8e-05,0.0789473684210526,0.0517327729140649,0.129046346156662,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","177"
4e-04,0.0263157894736842,0.0216552017879154,0.108632971685837,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","177"
0.002,0.0303030303030303,0.0249336197661585,0.122884223518159,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","177"
0.01,0,0,0.0876216011972866,"Edema","http://purl.obolibrary.org/obo/ZP_0002060 |","177"
0,0.0666666666666667,0.0547997711733981,0.231498632071134,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","177"
8e-05,0.0789473684210526,0.0517327729140649,0.129046346156662,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","177"
4e-04,0.0263157894736842,0.0216552017879154,0.108632971685837,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","177"
0.002,0.0303030303030303,0.0249336197661585,0.122884223518159,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","177"
0.01,0,0,0.0876216011972866,"Lower Trunk","http://purl.obolibrary.org/obo/ZP_0003437 | http://purl.obolibrary.org/obo/ZP_0010405","177"
0,0,0,0.193607680534436,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071","177"
8e-05,0.025,0.0205731684973186,0.103813689634741,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071","177"
4e-04,0.025,0.0205731684973186,0.103813689634741,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0.002,0.175,0.0875458625396408,0.144499903317877,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0.01,0,0,0.0876216011972866,"Mortality at 24 hours","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0,0.0625,0.0513806552353575,0.220787375702989,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","177"
8e-05,0.05,0.0361793326138516,0.11503877369141,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","177"
4e-04,0.05,0.0361793326138516,0.11503877369141,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0.002,0.175,0.0875458625396408,0.144499903317877,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0.01,0,0,0.0876216011972866,"Total mortality","http://purl.obolibrary.org/obo/UBERON_0000071","177"
0,0.0714285714285714,0.0587063561806805,0.24325847281294,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","495"
8e-05,0,0,0.098900992324404,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","495"
4e-04,0.0277777777777778,0.0228573706379673,0.113919408754961,"Axis","http://purl.obolibrary.org/obo/ZP_0005012","495"
