"Project","cas_number","Conc","Link","nGenes"
"HEPG2","115-28-6","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",41
"HEPG2","115-28-6","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",59
"HEPG2","115-28-6","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression",64
"HEPG2","115-29-7","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",71
"HEPG2","115-29-7","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",45
"HEPG2","115-29-7","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",51
"HEPG2","115-29-7","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",57
"HEPG2","115-29-7","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",435
"HEPG2","115-29-7","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression",134
"HEPG2","115-86-6","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",62
"HEPG2","115-86-6","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",77
"HEPG2","115-86-6","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",87
"HEPG2","115-86-6","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",225
"HEPG2","115-86-6","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",165
"HEPG2","115-86-6","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression",56
"HEPG2","115-96-8","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",53
"HEPG2","115-96-8","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",34
"HEPG2","115-96-8","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",33
"HEPG2","115-96-8","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",43
"HEPG2","115-96-8","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",71
"HEPG2","115-96-8","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression",34
"HEPG2","1156-19-0","1.25uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",44
"HEPG2","1156-19-0","10uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",72
"HEPG2","1156-19-0","2.5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",47
"HEPG2","1156-19-0","20uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",63
"HEPG2","1156-19-0","40uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",60
"HEPG2","1156-19-0","5uM","https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=1156-19-0&stat=gene_expression",33
