SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,water_concentration,water_concentration_unit,bioassay_sample_from_lims,parent_samples_from_lims,child_samples_from_lims
10OCT18-03-001,2010-10-14 00:00:00+00:00,PSD-Water,LFT - Unfortified,1865,10OCT18-03-005,91-57-6,Deepwater Horizon,FL-W-S,30.32082,-87.25599,"Pensacola, Florida",NULL,"Fort Pickens, FL",409,759.0475791,NA,NA,10OCT18-03-005,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,1090-13-7,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",628,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,109699-80-1,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1177,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,129-00-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",2739,5214.598202,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,130-15-4,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",61,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,132-65-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1620,269.0377076,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,1576-67-6,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",447,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,1705-85-7,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",694,752.6349924,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,191-24-2,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1179,28.5495719,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,191-30-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1614,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,191-30-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1616,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,192-97-2,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1178,427.0948747,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,193-39-5,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1965,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,205-99-2,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1175,550.9187654,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,206-44-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1854,5558.143595,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,207-08-9,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1182,149.6430191,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,208-96-8,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",949,0,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,218-01-9,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1371,8828.491971,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,2237-14-1,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",NA,NA,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,2498-66-0,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",1163,352.3362604,NA,NA,10OCT18-03-008,NA,NA
10OCT18-03-004,2010-10-13 00:00:00+00:00,PSD-Water,LFT - Unfortified,2072,10OCT18-03-008,3074-00-8,Deepwater Horizon,LA-W-S,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",689,0,NA,NA,10OCT18-03-008,NA,NA
