chem_lims_num,date_deployed,date_sampled,latitude,longitude,primary_loc,psds_per_ml,sample_matrix,sample_name,sample_parent,secondary_loc,technology,zaap_cid,extract_exp,zf_lims_id,measurement_value,unit,cas_number
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,64.1953032,pg/ul,192-97-2
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,193-39-5
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,59.5130502,pg/ul,205-99-2
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,999.0252112,pg/ul,206-44-0
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,207-08-9
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,208-96-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,1259.642692,pg/ul,218-01-9
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,2237-14-1
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,79,pg/ul,2498-66-0
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,3074-00-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,260,pg/ul,479-79-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,483-65-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,486-25-9
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,491-38-3
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,50-32-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,524-42-5
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,53-70-3
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,548-39-0
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,173.401501,pg/ul,56-55-3
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,310,pg/ul,569-15-3
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,573-98-8
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,5737-13-3
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,44.3960382,pg/ul,575-43-9
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,613-06-9
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,613-12-7
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,635-12-1
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,11/1/6373
A110067,None,2011-03-15 00:00:00+00:00,None,None,LA,5,PSD-Water,A110067,None,Grand Isle,LFT - Unfortified,2071,88,A110071,0,pg/ul,779-02-2
